,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,689009.SH,20210908,84.0,88.5,83.48,86.0,84.5,1.5,1.7751,12858.72,111471.848
1,689009.SH,20210907,85.9,87.6,84.2,84.5,86.0,-1.5,-1.7442,11469.19,97821.146
2,689009.SH,20210906,80.3,87.5,78.37,86.0,80.5,5.5,6.8323,21289.72,178908.582
3,689009.SH,20210903,84.47,86.85,80.39,80.5,82.25,-1.75,-2.1277,21972.6,184183.212
4,689009.SH,20210902,75.19,82.74,75.0,82.25,75.96,6.29,8.2807,23080.28,184726.858
5,689009.SH,20210901,73.58,77.85,73.18,75.96,75.0,0.96,1.28,17756.93,134388.56
6,689009.SH,20210830,76.89,78.0,72.63,74.66,78.05,-3.39,-4.3434,34943.67,260842.33
7,689009.SH,20210827,83.18,83.4,76.66,78.05,85.1,-7.05,-8.2844,37110.19,292993.921
8,689009.SH,20210826,87.76,87.9,81.18,85.1,86.08,-0.98,-1.1385,46419.2,391849.752
9,689009.SH,20210825,80.0,86.08,79.0,86.08,71.73,14.35,20.0056,72376.02,606383.885
10,689009.SH,20210824,66.2,71.73,66.2,71.73,66.0,5.73,8.6818,25160.47,174421.735
11,689009.SH,20210823,63.69,66.66,63.06,66.0,63.06,2.94,4.6622,13498.17,88168.081
12,689009.SH,20210820,64.7,65.75,62.88,63.06,65.06,-2.0,-3.0741,8568.29,54497.639
13,689009.SH,20210819,65.9,65.92,64.8,65.06,65.59,-0.53,-0.8081,5301.33,34607.729
14,689009.SH,20210818,64.39,66.13,64.02,65.59,64.5,1.09,1.6899,7386.42,48152.243
15,689009.SH,20210817,65.13,66.33,64.1,64.5,65.13,-0.63,-0.9673,7509.06,48937.951
16,689009.SH,20210816,64.0,65.93,63.12,65.13,63.8,1.33,2.0846,9409.06,60989.839
17,689009.SH,20210813,67.46,67.68,63.78,63.8,67.76,-3.96,-5.8442,15653.78,101908.649
18,689009.SH,20210812,66.73,69.8,66.2,67.76,67.99,-0.23,-0.3383,18661.94,127271.199
19,689009.SH,20210811,63.14,68.17,62.0,67.99,63.13,4.86,7.6984,23668.24,154632.376
20,689009.SH,20210810,63.44,63.77,62.34,63.13,63.52,-0.39,-0.614,7922.83,49829.099
21,689009.SH,20210809,63.0,64.44,61.5,63.52,62.96,0.56,0.8895,9337.73,58665.194
22,689009.SH,20210806,63.2,64.35,62.4,62.96,63.2,-0.24,-0.3797,8758.26,55307.066
23,689009.SH,20210805,65.09,65.3,63.15,63.2,65.14,-1.94,-2.9782,11482.84,73281.706
24,689009.SH,20210804,65.21,66.15,64.14,65.14,65.42,-0.28,-0.428,9678.37,62967.1
25,689009.SH,20210803,66.66,68.49,65.18,65.42,67.29,-1.87,-2.779,9350.68,62283.276
26,689009.SH,20210802,67.66,68.14,66.02,67.29,68.4,-1.11,-1.6228,8929.34,60094.655
27,689009.SH,20210730,67.52,68.84,65.5,68.4,68.04,0.36,0.5291,14385.0,96053.557
28,689009.SH,20210729,67.8,70.55,67.13,68.04,67.47,0.57,0.8448,16198.49,112136.853
29,689009.SH,20210728,66.01,67.59,63.01,67.47,67.15,0.32,0.4765,17414.45,114233.048
30,689009.SH,20210727,66.0,70.97,65.16,67.15,67.18,-0.03,-0.0447,18356.94,124562.057
31,689009.SH,20210726,67.86,67.86,63.0,67.18,68.08,-0.9,-1.322,20086.73,130980.619
32,689009.SH,20210723,66.74,68.9,65.0,68.08,67.7,0.38,0.5613,17637.78,118493.051
33,689009.SH,20210722,65.5,68.88,64.0,67.7,63.8,3.9,6.1129,27454.97,184314.542
34,689009.SH,20210721,62.84,65.3,61.77,63.8,61.83,1.97,3.1862,15199.58,97256.776
35,689009.SH,20210720,63.68,63.68,60.91,61.83,63.68,-1.85,-2.9052,16004.03,98971.691
36,689009.SH,20210719,64.0,66.0,62.6,63.68,64.33,-0.65,-1.0104,18773.98,121101.991
37,689009.SH,20210716,63.68,65.43,63.01,64.33,63.63,0.7,1.1001,10497.73,67641.376
38,689009.SH,20210715,64.5,66.48,62.5,63.63,65.0,-1.37,-2.1077,16063.6,102554.95
39,689009.SH,20210714,65.5,66.49,63.62,65.0,65.28,-0.28,-0.4289,17151.28,112026.191
40,689009.SH,20210713,74.65,75.0,64.98,65.28,75.3,-10.02,-13.3068,48571.56,333256.387
41,689009.SH,20210712,75.17,76.44,74.4,75.3,74.9,0.4,0.534,13712.14,102931.642
42,689009.SH,20210709,75.0,76.62,74.08,74.9,75.65,-0.75,-0.9914,11357.28,85189.615
43,689009.SH,20210708,77.2,77.69,74.5,75.65,77.77,-2.12,-2.726,19551.44,147253.54
44,689009.SH,20210707,74.8,77.97,74.0,77.77,75.07,2.7,3.5966,13963.98,106237.266
45,689009.SH,20210706,77.28,79.12,73.65,75.07,77.69,-2.62,-3.3724,22360.62,169174.975
46,689009.SH,20210705,78.0,79.09,76.4,77.69,78.34,-0.65,-0.8297,13809.92,107474.894
47,689009.SH,20210702,82.01,83.73,78.14,78.34,82.75,-4.41,-5.3293,20731.64,164934.26
48,689009.SH,20210701,85.8,86.3,82.28,82.75,85.12,-2.37,-2.7843,17212.92,143412.247
49,689009.SH,20210630,86.8,87.68,84.21,85.12,87.2,-2.08,-2.3853,15977.4,136975.439
50,689009.SH,20210629,86.2,88.98,84.1,87.2,86.16,1.04,1.2071,19571.39,169450.274
51,689009.SH,20210628,81.47,88.88,81.47,86.16,82.0,4.16,5.0732,31291.53,269691.178
52,689009.SH,20210625,78.89,82.18,78.0,82.0,78.51,3.49,4.4453,20028.14,161907.749
53,689009.SH,20210624,81.6,82.5,78.48,78.51,81.61,-3.1,-3.7986,15517.0,123417.828
54,689009.SH,20210623,78.69,82.15,78.06,81.61,77.86,3.75,4.8163,23789.53,191722.074
55,689009.SH,20210622,79.2,80.5,77.38,77.86,78.67,-0.81,-1.0296,14495.04,113744.285
56,689009.SH,20210621,80.68,80.75,78.11,78.67,80.52,-1.85,-2.2976,14965.36,118055.928
57,689009.SH,20210618,81.48,83.23,79.61,80.52,81.01,-0.49,-0.6049,16786.89,135781.269
58,689009.SH,20210617,77.9,82.5,77.23,81.01,77.89,3.12,4.0056,16377.92,131254.264
59,689009.SH,20210616,79.85,80.0,76.51,77.89,80.0,-2.11,-2.6375,13852.57,107660.61
60,689009.SH,20210615,80.0,80.8,76.0,80.0,80.92,-0.92,-1.1369,19839.89,155119.938
61,689009.SH,20210611,80.7,83.89,80.22,80.92,80.8,0.12,0.1485,21024.22,172997.233
62,689009.SH,20210610,82.29,82.89,80.07,80.8,81.2,-0.4,-0.4926,17102.09,139235.786
63,689009.SH,20210609,82.02,85.49,80.6,81.2,83.0,-1.8,-2.1687,23130.47,192459.286
64,689009.SH,20210608,78.8,83.78,78.71,83.0,79.64,3.36,4.219,24142.71,197649.545
65,689009.SH,20210607,75.36,79.99,75.02,79.64,75.36,4.28,5.6794,21950.52,172864.544
66,689009.SH,20210604,79.0,79.0,74.9,75.36,77.8,-2.44,-3.1362,21581.36,165204.476
67,689009.SH,20210603,80.0,80.99,77.31,77.8,80.17,-2.37,-2.9562,16465.46,129032.589
68,689009.SH,20210602,78.2,82.45,75.18,80.17,77.5,2.67,3.4452,34803.36,276538.529
69,689009.SH,20210601,72.86,82.89,72.86,77.5,73.3,4.2,5.7299,38853.68,305349.244
70,689009.SH,20210531,70.7,74.0,70.18,73.3,69.8,3.5,5.0143,20713.45,150414.694
71,689009.SH,20210528,71.85,72.51,69.36,69.8,72.02,-2.22,-3.0825,17796.0,126332.295
72,689009.SH,20210527,69.18,73.99,68.55,72.02,69.07,2.95,4.271,28102.22,200655.288
73,689009.SH,20210526,68.31,69.88,68.31,69.07,68.62,0.45,0.6558,12183.39,84257.923
74,689009.SH,20210525,66.5,69.88,66.46,68.62,66.97,1.65,2.4638,16971.58,115397.95
75,689009.SH,20210524,70.02,70.02,66.51,66.97,69.4,-2.43,-3.5014,16103.69,108628.455
76,689009.SH,20210521,69.96,71.33,68.92,69.4,69.4,0.0,0.0,14599.56,102357.202
77,689009.SH,20210520,68.28,70.35,67.7,69.4,68.77,0.63,0.9161,17621.18,121712.372
78,689009.SH,20210519,66.77,69.86,66.47,68.77,66.99,1.78,2.6571,19115.24,131198.923
79,689009.SH,20210518,66.6,67.28,65.76,66.99,67.2,-0.21,-0.3125,12758.97,84783.352
80,689009.SH,20210517,66.85,68.95,65.8,67.2,66.65,0.55,0.8252,19467.87,131292.566
81,689009.SH,20210514,66.57,67.88,65.66,66.65,66.51,0.14,0.2105,16973.35,112641.945
82,689009.SH,20210513,70.04,70.1,65.99,66.51,70.51,-4.0,-5.673,20624.73,138619.636
83,689009.SH,20210512,68.83,71.78,68.83,70.51,70.0,0.51,0.7286,12004.0,84319.611
84,689009.SH,20210511,69.0,70.88,67.8,70.0,69.3,0.7,1.0101,11394.37,78795.911
85,689009.SH,20210510,70.0,71.73,68.0,69.3,69.92,-0.62,-0.8867,16511.67,115096.463
86,689009.SH,20210507,71.42,76.38,69.91,69.92,71.93,-2.01,-2.7944,26539.37,193334.23
87,689009.SH,20210506,74.0,74.47,70.65,71.93,74.4,-2.47,-3.3199,21069.61,151976.905
88,689009.SH,20210430,67.1,76.8,64.8,74.4,66.04,8.36,12.659,44657.31,316970.93
89,689009.SH,20210429,63.49,66.08,62.0,66.04,63.7,2.34,3.6735,23066.85,148910.897
90,689009.SH,20210428,65.35,66.56,63.52,63.7,66.0,-2.3,-3.4848,16009.42,103417.095
91,689009.SH,20210427,68.09,68.89,65.95,66.0,68.92,-2.92,-4.2368,16137.61,108305.105
92,689009.SH,20210426,71.21,71.21,68.8,68.92,69.88,-0.96,-1.3738,20506.37,143926.682
93,689009.SH,20210423,69.61,71.3,68.7,69.88,69.66,0.22,0.3158,11311.23,79231.816
94,689009.SH,20210422,70.95,70.95,68.36,69.66,71.51,-1.85,-2.5871,21781.9,151132.408
95,689009.SH,20210421,70.96,73.49,69.27,71.51,69.25,2.26,3.2635,19957.54,143849.67
96,689009.SH,20210420,70.64,71.89,68.51,69.25,71.24,-1.99,-2.7934,15020.11,104490.426
97,689009.SH,20210419,68.9,73.38,68.01,71.24,69.14,2.1,3.0373,21113.45,150281.452
98,689009.SH,20210416,66.11,70.7,66.11,69.14,64.24,4.9,7.6276,21325.29,146504.394
99,689009.SH,20210415,66.69,66.99,63.5,64.24,66.79,-2.55,-3.8179,11048.82,71403.241
100,689009.SH,20210414,65.99,67.26,65.6,66.79,66.38,0.41,0.6177,7704.72,51235.635
101,689009.SH,20210413,65.99,66.99,65.02,66.38,65.67,0.71,1.0812,8901.7,58681.311
102,689009.SH,20210412,69.68,70.3,65.6,65.67,69.21,-3.54,-5.1149,18847.56,125924.701
103,689009.SH,20210409,73.77,75.39,69.0,69.21,73.3,-4.09,-5.5798,21974.1,159327.582
104,689009.SH,20210408,73.4,75.97,72.61,73.3,73.1,0.2,0.2736,13607.84,100368.082
105,689009.SH,20210407,72.41,74.96,71.25,73.1,73.14,-0.04,-0.0547,17732.61,130676.857
106,689009.SH,20210406,70.9,76.66,70.03,73.14,71.07,2.07,2.9126,20752.18,152420.828
107,689009.SH,20210402,66.86,71.45,66.86,71.07,65.86,5.21,7.9107,25845.6,179290.733
108,689009.SH,20210401,66.7,66.7,64.18,65.86,66.56,-0.7,-1.0517,11925.6,78475.859
109,689009.SH,20210330,66.0,66.66,64.81,65.1,64.79,0.31,0.4785,16129.71,105933.119
110,689009.SH,20210329,63.42,66.8,63.42,64.79,63.41,1.38,2.1763,20351.3,133036.541
111,689009.SH,20210326,62.3,65.0,61.6,63.41,60.7,2.71,4.4646,20001.99,127598.032
112,689009.SH,20210325,61.2,62.5,58.9,60.7,62.0,-1.3,-2.0968,11676.47,71171.071
113,689009.SH,20210324,64.76,64.77,61.6,62.0,64.46,-2.46,-3.8163,14383.02,90633.93
114,689009.SH,20210323,63.35,65.92,63.11,64.46,63.91,0.55,0.8606,22282.28,144158.479
115,689009.SH,20210322,59.84,65.0,58.62,63.91,59.03,4.88,8.267,26585.69,164368.716
116,689009.SH,20210319,59.03,60.97,58.37,59.03,61.32,-2.29,-3.7345,19026.15,112983.485
117,689009.SH,20210318,61.99,62.7,61.25,61.32,62.3,-0.98,-1.573,11565.91,71342.77
118,689009.SH,20210317,61.64,62.88,60.6,62.3,61.26,1.04,1.6977,12791.04,79512.087
119,689009.SH,20210316,62.29,63.39,60.02,61.26,61.82,-0.56,-0.9059,14310.55,87974.66
120,689009.SH,20210315,65.78,66.88,60.51,61.82,64.81,-2.99,-4.6135,22240.3,142815.769
121,689009.SH,20210312,64.3,66.15,64.0,64.81,63.4,1.41,2.224,18682.39,121738.698
122,689009.SH,20210311,61.32,65.15,61.0,63.4,62.5,0.9,1.44,17826.38,113140.421
123,689009.SH,20210310,63.73,64.98,61.82,62.5,61.72,0.78,1.2638,23997.94,152026.423
124,689009.SH,20210309,65.7,66.31,58.0,61.72,65.88,-4.16,-6.3145,30769.96,193045.957
125,689009.SH,20210308,71.22,71.88,65.0,65.88,71.22,-5.34,-7.4979,29070.03,198486.016
126,689009.SH,20210305,69.01,72.33,69.01,71.22,70.77,0.45,0.6359,15661.43,112109.0
127,689009.SH,20210304,72.18,73.49,69.98,70.77,73.91,-3.14,-4.2484,19790.74,140620.416
128,689009.SH,20210303,71.5,74.36,70.1,73.91,71.49,2.42,3.3851,22216.47,162364.822
129,689009.SH,20210302,75.42,76.55,70.2,71.49,75.42,-3.93,-5.2108,29635.39,216787.801
130,689009.SH,20210301,71.26,75.68,71.26,75.42,70.1,5.32,7.5892,29032.23,213743.542
131,689009.SH,20210226,69.98,71.37,68.68,70.1,72.59,-2.49,-3.4302,23632.99,165469.536
132,689009.SH,20210225,76.0,77.77,69.12,72.59,75.51,-2.92,-3.867,44957.46,327167.275
133,689009.SH,20210224,81.3,82.5,74.5,75.51,80.46,-4.95,-6.1521,41789.15,327334.31
134,689009.SH,20210223,80.0,84.77,79.79,80.46,83.35,-2.89,-3.4673,27062.63,220845.259
135,689009.SH,20210219,99.3,99.3,90.0,90.3,98.66,-8.36,-8.4735,40653.72,377162.484
136,689009.SH,20210218,100.0,101.78,95.8,98.66,97.87,0.79,0.8072,26699.05,263111.227
137,689009.SH,20210210,93.92,98.88,91.57,97.87,93.35,4.52,4.842,31595.92,302052.832
138,689009.SH,20210209,92.7,96.0,90.11,93.35,91.98,1.37,1.4895,33958.34,318144.951
139,689009.SH,20210208,91.0,94.5,87.05,91.98,90.8,1.18,1.2996,27050.89,245732.245
140,689009.SH,20210205,95.96,97.8,89.59,90.8,95.88,-5.08,-5.2983,42205.61,392210.27
141,689009.SH,20210204,100.5,104.3,95.1,95.88,102.68,-6.8,-6.6225,32881.6,327686.511
142,689009.SH,20210203,106.0,107.89,102.0,102.68,104.94,-2.26,-2.1536,28208.38,293903.575
143,689009.SH,20210202,97.51,105.2,97.51,104.94,96.8,8.14,8.4091,39608.0,405509.572
144,689009.SH,20210201,96.0,103.28,89.0,96.8,100.28,-3.48,-3.4703,55486.97,532966.597
145,689009.SH,20210129,98.68,103.3,95.31,100.28,97.7,2.58,2.6407,37173.5,371574.825
146,689009.SH,20210128,105.89,107.98,96.22,97.7,108.88,-11.18,-10.2682,48033.07,484298.881
147,689009.SH,20210127,106.0,112.7,99.03,108.88,108.3,0.58,0.5355,49491.39,529577.002
148,689009.SH,20210126,102.0,112.1,97.51,108.3,101.8,6.5,6.3851,48187.46,510275.77
149,689009.SH,20210125,98.11,110.25,98.11,101.8,99.1,2.7,2.7245,48120.99,501826.395
150,689009.SH,20210122,90.47,102.77,89.3,99.1,88.98,10.12,11.3733,63616.98,611470.876
151,689009.SH,20210121,85.1,91.91,85.1,88.98,85.02,3.96,4.6577,60148.27,536182.202
152,689009.SH,20210120,78.84,85.55,78.84,85.02,78.81,6.21,7.8797,50873.14,419551.948
153,689009.SH,20210119,81.38,82.82,78.38,78.81,80.82,-2.01,-2.487,36046.55,290532.293
154,689009.SH,20210118,79.0,85.79,78.75,80.82,82.81,-1.99,-2.4031,47728.23,391732.066
155,689009.SH,20210115,85.0,90.0,82.77,82.81,86.0,-3.19,-3.7093,56837.94,488533.926
156,689009.SH,20210114,83.0,91.87,81.2,86.0,83.73,2.27,2.7111,54016.07,465295.462
157,689009.SH,20210113,83.19,86.88,82.12,83.73,83.4,0.33,0.3957,50834.02,431703.199
158,689009.SH,20210112,78.26,83.79,76.3,83.4,78.25,5.15,6.5815,50139.05,402748.318
159,689009.SH,20210111,77.0,79.44,74.62,78.25,77.7,0.55,0.7079,41556.64,320867.357
160,689009.SH,20210108,79.99,83.33,77.33,77.7,80.29,-2.59,-3.2258,45259.89,363145.519
161,689009.SH,20210107,80.01,83.88,77.3,80.29,80.99,-0.7,-0.8643,51400.46,413151.03
162,689009.SH,20210106,86.88,87.77,80.8,80.99,87.4,-6.41,-7.3341,57541.08,480165.333
163,689009.SH,20210105,87.7,89.43,83.0,87.4,88.2,-0.8,-0.907,68230.91,584890.176
164,689009.SH,20210104,84.74,92.5,83.2,88.2,85.82,2.38,2.7732,66828.25,588895.451
165,689009.SH,20201231,82.0,88.0,80.09,85.82,80.91,4.91,6.0685,64180.84,542162.328
166,689009.SH,20201230,78.13,83.49,76.21,80.91,77.46,3.45,4.4539,68877.74,550652.832
167,689009.SH,20201229,81.38,83.8,76.55,77.46,80.1,-2.64,-3.2959,62342.15,497551.129
168,689009.SH,20201228,74.82,83.2,74.32,80.1,75.1,5.0,6.6578,81280.91,648890.483
169,689009.SH,20201225,72.01,75.5,67.61,75.1,73.1,2.0,2.736,81777.6,584997.397
170,689009.SH,20201224,78.6,79.98,73.0,73.1,80.1,-7.0,-8.7391,73252.16,563628.086
171,689009.SH,20201223,76.01,80.19,75.0,80.1,75.5,4.6,6.0927,79336.31,618876.853
172,689009.SH,20201222,73.45,81.2,72.72,75.5,72.9,2.6,3.5665,94344.39,729303.066
173,689009.SH,20201221,71.0,74.66,69.4,72.9,71.98,0.92,1.2781,63777.25,460444.821
174,689009.SH,20201218,73.7,75.5,71.86,71.98,73.69,-1.71,-2.3205,76357.4,561886.686
175,689009.SH,20201217,69.0,73.69,68.4,73.69,70.55,3.14,4.4507,74289.1,528806.352
176,689009.SH,20201216,67.01,70.8,64.1,70.55,68.52,2.03,2.9626,76905.51,519997.068
177,689009.SH,20201215,69.21,73.37,67.91,68.52,69.95,-1.43,-2.0443,58853.58,414669.082
178,689009.SH,20201214,68.45,70.1,65.2,69.95,67.85,2.1,3.0951,58425.55,394611.086
179,689009.SH,20201211,65.5,69.5,64.1,67.85,65.32,2.53,3.8732,66723.76,449715.655
180,689009.SH,20201210,69.49,69.52,64.6,65.32,68.75,-3.43,-4.9891,58438.17,390050.476
181,689009.SH,20201209,71.5,72.58,68.63,68.75,70.5,-1.75,-2.4823,50332.83,353457.776
182,689009.SH,20201208,70.4,74.85,69.34,70.5,71.3,-0.8,-1.122,75616.58,545328.505
183,689009.SH,20201207,68.0,72.2,63.89,71.3,67.06,4.24,6.3227,103178.7,702914.507
184,689009.SH,20201204,64.5,68.63,64.36,67.06,64.1,2.96,4.6178,97180.32,650623.911
185,689009.SH,20201203,67.7,67.7,63.75,64.1,69.0,-4.9,-7.1014,102512.24,667586.966
186,689009.SH,20201202,72.18,73.74,67.58,69.0,72.8,-3.8,-5.2198,91882.18,641935.191
187,689009.SH,20201201,69.94,73.35,69.0,72.8,71.35,1.45,2.0322,84704.66,607088.603
188,689009.SH,20201130,72.6,74.66,66.0,71.35,70.99,0.36,0.5071,123127.21,865675.385
189,689009.SH,20201127,75.1,77.3,70.68,70.99,76.52,-5.53,-7.2269,86531.23,632420.305
190,689009.SH,20201126,78.99,81.0,72.01,76.52,80.6,-4.08,-5.062,109927.48,831697.575
191,689009.SH,20201125,83.9,87.84,80.0,80.6,84.57,-3.97,-4.6943,105291.57,870656.996
192,689009.SH,20201124,85.0,88.25,81.14,84.57,83.4,1.17,1.4029,108481.49,924366.918
193,689009.SH,20201123,84.5,86.0,79.0,83.4,86.65,-3.25,-3.7507,135927.01,1112475.859
194,689009.SH,20201120,74.62,88.39,74.62,86.65,73.66,12.99,17.6351,173774.59,1428266.356
195,689009.SH,20201119,74.86,77.89,69.7,73.66,75.3,-1.64,-2.178,110403.12,815417.743
196,689009.SH,20201118,77.5,83.75,72.89,75.3,77.0,-1.7,-2.2078,155676.0,1209404.47
197,689009.SH,20201117,76.0,80.2,72.5,77.0,73.42,3.58,4.8761,153695.29,1181806.487
198,689009.SH,20201116,62.18,73.42,62.18,73.42,61.18,12.24,20.0065,171348.27,1201681.738
199,689009.SH,20201113,58.08,63.88,55.5,61.18,58.89,2.29,3.8886,149047.76,909337.229
200,689009.SH,20201112,56.0,61.66,55.04,58.89,56.0,2.89,5.1607,186077.88,1097892.199
201,689009.SH,20201111,65.8,65.91,55.7,56.0,67.93,-11.93,-17.5622,231251.26,1384453.512
202,689009.SH,20201110,68.0,70.7,65.11,67.93,68.04,-0.11,-0.1617,159527.78,1089580.074
203,689009.SH,20201109,70.5,71.68,63.5,68.04,68.6,-0.56,-0.8163,224941.34,1517927.746
204,689009.SH,20201106,59.8,68.6,59.48,68.6,61.0,7.6,12.459,231627.68,1462900.126
205,689009.SH,20201105,55.95,65.28,54.6,61.0,54.4,6.6,12.1324,288435.07,1764146.58
206,689009.SH,20201104,57.45,57.8,51.9,54.4,57.39,-2.99,-5.21,208464.5,1138491.187
207,689009.SH,20201103,56.5,59.55,53.36,57.39,56.77,0.62,1.0921,251214.45,1409432.109
208,689009.SH,20201102,50.2,56.78,48.81,56.77,47.6,9.17,19.2647,271934.02,1428223.165
209,689009.SH,20201030,40.02,51.56,40.02,47.6,38.5,9.1,23.6364,336005.51,1515930.836
210,689009.SH,20201029,33.0,49.8,33.0,38.5,18.94,19.56,103.2735,409549.22,1584100.687
